frag.id,days,time.point,notes,light.level,genotype,big.tank,tank,Dry.Weigh.g,propD,dom,mix,mortality
64,31,T1,,Low Shade,912,13,2,3.021220368640821,NA,D,NA,0
68,60,T2,NA,High Shade,911,16,12,3.201125806456771,0.96124068745778,D,DC,25
68,31,T1,,High Shade,911,16,12,3.191161851175604,NA,D,NA,0
68,0,T0,NA,High Shade,911,16,12,3.1910559050726444,0.972215161509815,D,DC,0
69,60,T2,NA,Low Shade,910,13,2,4.774417215951437,0.9767786061238206,D,DC,0
69,0,T0,NA,Low Shade,910,13,2,4.570228932547241,1,D,D,0
69,31,T1,,Low Shade,910,13,2,4.7037128988210855,NA,D,NA,0
70,31,T1,,Natural,922,17,13,7.229442349836567,NA,D,NA,0
70,0,T0,NA,Natural,922,17,13,7.081875423937929,0.9780460343037864,D,DC,0
73,31,T1,,Low Shade,919,14,6,9.257957781218014,NA,C,NA,20
73,60,T2,NA,Low Shade,919,14,6,9.433454191317683,0,C,C,25
73,0,T0,NA,Low Shade,919,14,6,9.128375071131805,0,C,C,15
74,60,T2,NA,Natural,920,13,1,2.9402718039322933,0.04147196337858971,C,CD,0
74,31,T1,,Natural,920,13,1,2.6106981288040405,NA,C,NA,0
74,0,T0,NA,Natural,920,13,1,2.5298012165978863,0.024275472363248,C,CD,0
75,31,T1,,Natural,909,14,5,3.886790746742427,NA,D,NA,0
75,0,T0,NA,Natural,909,14,5,3.8482729449928286,0.9781876794859028,D,DC,0
75,60,T2,NA,Natural,909,14,5,3.979635834605804,0.977525863431153,D,DC,0
76,60,T2,NA,High Shade,916,13,3,5.621638696369134,NA,D,NA,25
76,0,T0,NA,High Shade,916,13,3,5.619805892505217,0.9855786681565972,D,DC,0
76,31,T1,,High Shade,916,13,3,5.621867791017894,NA,D,NA,NA
78,31,T1,,Natural,910,16,9,5.367077277787994,NA,D,NA,0
78,0,T0,NA,Natural,910,16,9,5.033322501315245,NA,D,NA,0
78,60,T2,NA,Natural,910,16,9,5.951262514667615,0.9696148834567608,D,DC,0
79,60,T2,NA,Medium Shade,910,14,8,3.427599374906576,0.9573363099992008,D,DC,0
79,31,T1,,Medium Shade,910,14,8,3.421685013513549,NA,D,NA,0
79,0,T0,NA,Medium Shade,910,14,8,3.409469948450041,NA,D,NA,0
80,31,T1,,High Shade,910,17,16,2.5379317849978484,NA,D,NA,0
80,60,T2,NA,High Shade,910,17,16,2.535775453629639,NA,D,NA,15
80,0,T0,NA,High Shade,910,17,16,2.5338395607572153,NA,D,NA,0
81,0,T0,NA,Medium Shade,911,17,15,3.1566801438769967,NA,D,NA,0
81,60,T2,NA,Medium Shade,911,17,15,3.1646301511973283,NA,D,NA,15
81,31,T1,,Medium Shade,911,17,15,3.15267351813439,NA,D,NA,0
82,60,T2,NA,Low Shade,911,14,6,5.654011706302923,0.9788433143108212,D,DC,80
82,31,T1,70% dead,Low Shade,911,14,6,5.621907172834171,NA,D,NA,80
82,0,T0,NA,Low Shade,911,14,6,5.635910254502153,NA,D,NA,5
83,60,T2,NA,Natural,911,13,1,5.11211744075368,1,D,D,0
83,31,T1,,Natural,911,13,1,4.675389371296994,NA,D,NA,0
83,0,T0,NA,Natural,911,13,1,4.537874640841799,NA,D,NA,0
84,60,T2,NA,Low Shade,922,16,10,5.587128590806915,NA,D,NA,0
84,0,T0,NA,Low Shade,922,16,10,5.518683909645936,NA,D,NA,0
84,31,T1,,Low Shade,922,16,10,5.542932197183295,NA,D,NA,0
85,60,T2,NA,Medium Shade,922,13,4,5.724779547652599,0.9664283591643557,D,DC,25
85,0,T0,NA,Medium Shade,922,13,4,5.708781855600595,NA,D,NA,0
85,31,T1,,Medium Shade,922,13,4,5.7249723146292295,NA,D,NA,5
86,31,T1,,High Shade,922,14,7,7.860363952958554,NA,D,NA,NA
86,0,T0,NA,High Shade,922,14,7,7.858418564527319,NA,D,NA,0
86,60,T2,NA,High Shade,922,14,7,7.84002959225268,NA,D,NA,100
87,31,T1,,Low Shade,920,16,10,3.4560622312700757,NA,C,NA,0
87,60,T2,NA,Low Shade,920,16,10,3.4983702002651724,NA,C,NA,0
87,0,T0,NA,Low Shade,920,16,10,3.4317227610092953,NA,C,NA,0
88,0,T0,NA,Medium Shade,920,17,15,4.372057180903088,NA,C,NA,0
88,60,T2,NA,Medium Shade,920,17,15,4.4304770850274755,NA,C,NA,0
88,31,T1,,Medium Shade,920,17,15,4.384218525355705,NA,C,NA,0
89,31,T1,,High Shade,920,14,7,2.2183726472918384,NA,C,NA,NA
89,0,T0,NA,High Shade,920,14,7,2.222431693478398,NA,C,NA,0
89,60,T2,NA,High Shade,920,14,7,2.2203679098995988,0,C,C,0
97,0,T0,NA,High Shade,894B,14,7,4.519536337435096,0,C,C,NA
97,31,T1,90% dead,High Shade,894B,14,7,4.562124760101784,NA,C,NA,NA
97,60,T2,NA,High Shade,894B,14,7,4.600478316149387,NA,C,NA,NA
101,60,T2,NA,High Shade,873,13,3,4.5842656868986715,NA,C,NA,0
101,0,T0,NA,High Shade,873,13,3,4.582383139146738,NA,C,NA,0
