Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\gatescorallab\Desktop\TaqMan_Std.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,NOISE
D9,204,C,UNKNOWN,VIC,NFQ-MGB,23.86110878,23.82912445,0.045231324,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
D9,204,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
D10,204,C,UNKNOWN,VIC,NFQ-MGB,23.79714203,23.82912445,0.045231324,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
D10,204,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
D11,212,C,UNKNOWN,VIC,NFQ-MGB,38.12024689,38.54526901,0.601072073,,,,FALSE,0.01,FALSE,6,20,,Y,Y,N
D11,212,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y,N
D12,212,C,UNKNOWN,VIC,NFQ-MGB,38.97029114,38.54526901,0.601072073,,,,FALSE,0.01,FALSE,6,20,,Y,Y,N
D12,212,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y,N
E1,224,C,UNKNOWN,VIC,NFQ-MGB,28.51045418,28.3817749,0.181978628,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
E1,224,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
E2,224,C,UNKNOWN,VIC,NFQ-MGB,28.25309753,28.3817749,0.181978628,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
E2,224,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
E3,210,C,UNKNOWN,VIC,NFQ-MGB,27.93069267,29.6383667,2.415015697,,,,FALSE,0.01,FALSE,6,20,,Y,Y,N
E3,210,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y,N
E4,210,C,UNKNOWN,VIC,NFQ-MGB,31.34604073,29.6383667,2.415015697,,,,FALSE,0.01,FALSE,6,20,,Y,Y,N
E4,210,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y,N
E5,287,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
E5,287,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
E6,287,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
E6,287,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
E7,220,C,UNKNOWN,VIC,NFQ-MGB,27.89859581,27.55534744,0.485425144,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
E7,220,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
E8,220,C,UNKNOWN,VIC,NFQ-MGB,27.21210098,27.55534744,0.485425144,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
E8,220,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
E9,257,C,UNKNOWN,VIC,NFQ-MGB,25.64204979,25.57671738,0.092393987,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
E9,257,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
E10,257,C,UNKNOWN,VIC,NFQ-MGB,25.51138496,25.57671738,0.092393987,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
E10,257,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
E11,275,C,UNKNOWN,VIC,NFQ-MGB,25.64236069,26.46387291,1.161793709,,,,FALSE,0.01,FALSE,6,20,,Y,Y,N
E11,275,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y,N
E12,275,C,UNKNOWN,VIC,NFQ-MGB,27.28538513,26.46387291,1.161793709,,,,FALSE,0.01,FALSE,6,20,,Y,Y,N
E12,275,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y,N
F1,274,C,UNKNOWN,VIC,NFQ-MGB,25.04175377,25.02166748,0.02840765,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
F1,274,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
F2,274,C,UNKNOWN,VIC,NFQ-MGB,25.00157928,25.02166748,0.02840765,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
F2,274,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
F3,207,C,UNKNOWN,VIC,NFQ-MGB,24.9843998,24.95788574,0.037495185,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
F3,207,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
F4,207,C,UNKNOWN,VIC,NFQ-MGB,24.9313736,24.95788574,0.037495185,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
F4,207,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
F5,271,C,UNKNOWN,VIC,NFQ-MGB,25.89388847,25.72757721,0.235198289,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
F5,271,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
F6,271,C,UNKNOWN,VIC,NFQ-MGB,25.56126785,25.72757721,0.235198289,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
F6,271,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
F7,208,C,UNKNOWN,VIC,NFQ-MGB,26.38882637,25.94478416,0.627970517,,,,FALSE,0.01,FALSE,6,20,,Y,Y,N
F7,208,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y,N
F8,208,C,UNKNOWN,VIC,NFQ-MGB,25.50074196,25.94478416,0.627970517,,,,FALSE,0.01,FALSE,6,20,,Y,Y,N
F8,208,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y,N
F9,285,C,UNKNOWN,VIC,NFQ-MGB,24.09233665,23.98922348,0.145824045,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
F9,285,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
F10,285,C,UNKNOWN,VIC,NFQ-MGB,23.88611031,23.98922348,0.145824045,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
