Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,E:\MOTaqMan_Std.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP
E2,31f,C,UNKNOWN,VIC,NFQ-MGB,39.68625259,39.19094086,0.700476587,,,,FALSE,0.01,FALSE,6,20,,Y,Y
E2,31f,D,UNKNOWN,FAM,NFQ-MGB,33.19051361,33.26088715,0.099525906,,,,FALSE,0.01,FALSE,6,20,,Y,Y
E3,89f,C,UNKNOWN,VIC,NFQ-MGB,27.56824303,27.54319572,0.035422236,,,,FALSE,0.01,FALSE,6,20,,N,Y
E3,89f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
E4,89f,C,UNKNOWN,VIC,NFQ-MGB,27.51814842,27.54319572,0.035422236,,,,FALSE,0.01,FALSE,6,20,,N,Y
E4,89f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
E5,73f,C,UNKNOWN,VIC,NFQ-MGB,35.12329483,34.87167358,0.355846167,,,,FALSE,0.01,FALSE,6,20,,N,Y
E5,73f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
E6,73f,C,UNKNOWN,VIC,NFQ-MGB,34.62005234,34.87167358,0.355846167,,,,FALSE,0.01,FALSE,6,20,,N,Y
E6,73f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
E7,204f,C,UNKNOWN,VIC,NFQ-MGB,29.42517853,31.82302856,3.391072035,,,,FALSE,0.01,FALSE,6,20,,Y,Y
E7,204f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
E8,204f,C,UNKNOWN,VIC,NFQ-MGB,34.2208786,31.82302856,3.391072035,,,,FALSE,0.01,FALSE,6,20,,Y,Y
E8,204f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
E9,240f,C,UNKNOWN,VIC,NFQ-MGB,24.5461731,26.35861969,2.563186646,,,,FALSE,0.01,FALSE,6,20,,Y,Y
E9,240f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
E10,240f,C,UNKNOWN,VIC,NFQ-MGB,28.17106628,26.35861969,2.563186646,,,,FALSE,0.01,FALSE,6,20,,Y,Y
E10,240f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
E11,26f,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,34.9552536,,,,,FALSE,0.01,FALSE,6,20,,N,Y
E11,26f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,31.19856453,,,,,FALSE,0.01,FALSE,6,20,,N,Y
E12,26f,C,UNKNOWN,VIC,NFQ-MGB,34.9552536,34.9552536,,,,,FALSE,0.01,FALSE,6,20,,N,N
E12,26f,D,UNKNOWN,FAM,NFQ-MGB,31.19856453,31.19856453,,,,,FALSE,0.01,FALSE,6,20,,N,N
F1,82f,C,UNKNOWN,VIC,NFQ-MGB,34.71534729,35.45539093,1.04658246,,,,FALSE,0.01,FALSE,6,20,,Y,N
F1,82f,D,UNKNOWN,FAM,NFQ-MGB,31.11496925,31.11493301,5.25993E-05,,,,FALSE,0.01,FALSE,6,20,,Y,N
F2,82f,C,UNKNOWN,VIC,NFQ-MGB,36.19543839,35.45539093,1.04658246,,,,FALSE,0.01,FALSE,6,20,,Y,N
F2,82f,D,UNKNOWN,FAM,NFQ-MGB,31.11489487,31.11493301,5.25993E-05,,,,FALSE,0.01,FALSE,6,20,,Y,N
F3,232f,C,UNKNOWN,VIC,NFQ-MGB,28.65292358,28.23680687,0.58847791,,,,FALSE,0.01,FALSE,6,20,,Y,Y
F3,232f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
F4,232f,C,UNKNOWN,VIC,NFQ-MGB,27.82069016,28.23680687,0.58847791,,,,FALSE,0.01,FALSE,6,20,,Y,Y
F4,232f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
F5,27f,C,UNKNOWN,VIC,NFQ-MGB,36.40010452,38.13902283,2.459201813,,,,FALSE,0.01,FALSE,6,20,,Y,N
F5,27f,D,UNKNOWN,FAM,NFQ-MGB,32.23355865,34.05047989,2.569514751,,,,FALSE,0.01,FALSE,6,20,,Y,N
F6,27f,C,UNKNOWN,VIC,NFQ-MGB,39.87794113,38.13902283,2.459201813,,,,FALSE,0.01,FALSE,6,20,,Y,Y
F6,27f,D,UNKNOWN,FAM,NFQ-MGB,35.86740112,34.05047989,2.569514751,,,,FALSE,0.01,FALSE,6,20,,Y,Y
F7,111f,C,UNKNOWN,VIC,NFQ-MGB,26.87623596,27.01654816,0.198430061,,,,FALSE,0.01,FALSE,6,20,,N,N
F7,111f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,34.0526619,,,,,FALSE,0.01,FALSE,6,20,,N,N
F8,111f,C,UNKNOWN,VIC,NFQ-MGB,27.15685844,27.01654816,0.198430061,,,,FALSE,0.01,FALSE,6,20,,N,N
F8,111f,D,UNKNOWN,FAM,NFQ-MGB,34.0526619,34.0526619,,,,,FALSE,0.01,FALSE,6,20,,N,N
