Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,E:\urop20170913RUN.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,NOAMP,NOISE
E6,887,C,UNKNOWN,VIC,NFQ-MGB,29.1117115,29.1117115,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
E6,887,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
E7,895,C,UNKNOWN,VIC,NFQ-MGB,36.10708237,36.10708237,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
E7,895,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
E8,903,C,UNKNOWN,VIC,NFQ-MGB,29.01050186,29.01050186,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
E8,903,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
E9,,,,,,,,,,,,,,,,,,N,N,N
E10,,,,,,,,,,,,,,,,,,N,N,N
E11,,,,,,,,,,,,,,,,,,N,N,N
E12,,,,,,,,,,,,,,,,,,N,N,N
F1,,,,,,,,,,,,,,,,,,N,N,N
F2,856,C,UNKNOWN,VIC,NFQ-MGB,26.83472443,26.83472443,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
F2,856,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
F3,864,C,UNKNOWN,VIC,NFQ-MGB,28.46992683,28.46992683,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
F3,864,D,UNKNOWN,FAM,NFQ-MGB,26.37163544,26.37163544,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
F4,872,C,UNKNOWN,VIC,NFQ-MGB,25.56831551,25.56831551,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
F4,872,D,UNKNOWN,FAM,NFQ-MGB,28.82458496,28.82458496,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
F5,880,C,UNKNOWN,VIC,NFQ-MGB,29.14420891,29.14420891,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
F5,880,D,UNKNOWN,FAM,NFQ-MGB,26.80375671,26.80375671,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
F6,888,C,UNKNOWN,VIC,NFQ-MGB,29.55374146,29.55374146,,,,,FALSE,0.01,FALSE,5,25,,N,Y,N
F6,888,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,N,Y,N
