Sample.Name,File.Name,C.CT.mean,D.CT.mean,C.CT.sd,D.CT.sd,C.reps,D.reps,C.D,fail,propC,propD,Dom,Mix,time
149,UROP_Time1_3.csv,22.589199665000002,NaN,0.12551129102605302,NA,2,0,Inf,FALSE,1,0,C,C,Time1
151,UROP_Time1_3.csv,21.614607460000002,NaN,0.0018625475459167736,NA,2,0,Inf,FALSE,1,0,C,C,Time1
153,UROP_Time1_3.csv,20.728242520000002,NaN,0.1123277588523727,NA,2,0,Inf,FALSE,1,0,C,C,Time1
154,UROP_Time1_3.csv,21.776178965,NaN,0.25054649412739977,NA,2,0,Inf,FALSE,1,0,C,C,Time1
155,UROP_Time1_3.csv,23.07271636,NaN,0.18246955542342638,NA,2,0,Inf,FALSE,1,0,C,C,Time1
156,UROP_Time1_3.csv,23.98342574,NaN,0.12078544892000781,NA,2,0,Inf,FALSE,1,0,C,C,Time1
158,UROP_Time1_3.csv,22.430745725,NaN,0.17820631671576992,NA,2,0,Inf,FALSE,1,0,C,C,Time1
161,UROP_Time1_3.csv,21.674539214999996,NaN,0.03580256288522446,NA,2,0,Inf,FALSE,1,0,C,C,Time1
162,UROP_Time1_3.csv,24.868592864999997,24.14433956,0.13459747174294245,0.15750513637150032,2,2,0.05502820488134894,FALSE,0.05215804148813022,0.9478419585118698,D,DC,Time1
186,UROP_Time1_3.csv,22.895207055,NaN,0.08226120374972604,NA,2,0,Inf,FALSE,1,0,C,C,Time1
188,UROP_Time1_3.csv,25.87450374,NaN,0.4508350626549835,NA,2,0,Inf,FALSE,1,0,C,C,Time1
189,UROP_Time1_3.csv,28.27802718,NaN,0.34490148657711633,NA,2,0,Inf,FALSE,1,0,C,C,Time1
190,UROP_Time1_3.csv,27.171774515,36.52355385,0.4840629648970907,0.7756126013665107,2,2,59.39821684512339,FALSE,0.9834432198128588,0.01655678018714124,C,CD,Time1
194,UROP_Time1_3.csv,22.16323722,33.910463335,0.03150426582335756,0.4291479774678364,2,2,312.51778770547025,FALSE,0.9968103883121955,0.0031896116878045166,C,CD,Time1
196,UROP_Time1_3.csv,23.979291564999997,NaN,0.03670080062936687,NA,2,0,Inf,FALSE,1,0,C,C,Time1
