Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\gatescorallab\Desktop\mariah\MO_UROPapril3.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP
E8,199,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
E9,107,C,UNKNOWN,VIC,NFQ-MGB,27.05657387,27.23803711,0.256627768,,,,FALSE,0.01,FALSE,6,20,,N,Y
E9,107,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
E10,107,C,UNKNOWN,VIC,NFQ-MGB,27.41950035,27.23803711,0.256627768,,,,FALSE,0.01,FALSE,6,20,,N,Y
E10,107,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
E11,116,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
E11,116,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
E12,116,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
E12,116,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
F1,118,C,UNKNOWN,VIC,NFQ-MGB,33.30096817,33.57788086,0.391613692,,,,FALSE,0.01,FALSE,6,20,,N,N
F1,118,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,N
F2,118,C,UNKNOWN,VIC,NFQ-MGB,33.85479355,33.57788086,0.391613692,,,,FALSE,0.01,FALSE,6,20,,N,Y
F2,118,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
F3,160,C,UNKNOWN,VIC,NFQ-MGB,33.27112961,34.84689331,2.228469133,,,,FALSE,0.01,FALSE,6,20,,Y,Y
F3,160,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
F4,160,C,UNKNOWN,VIC,NFQ-MGB,36.42266083,34.84689331,2.228469133,,,,FALSE,0.01,FALSE,6,20,,Y,Y
F4,160,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
F5,159,C,UNKNOWN,VIC,NFQ-MGB,22.77292824,22.72618675,0.066102445,,,,FALSE,0.01,FALSE,6,20,,N,Y
F5,159,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
F6,159,C,UNKNOWN,VIC,NFQ-MGB,22.67944527,22.72618675,0.066102445,,,,FALSE,0.01,FALSE,6,20,,N,Y
F6,159,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
F7,124,C,UNKNOWN,VIC,NFQ-MGB,25.44804955,25.59221649,0.203884199,,,,FALSE,0.01,FALSE,6,20,,N,Y
F7,124,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
F8,124,C,UNKNOWN,VIC,NFQ-MGB,25.73638535,25.59221649,0.203884199,,,,FALSE,0.01,FALSE,6,20,,N,Y
F8,124,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
F9,131,C,UNKNOWN,VIC,NFQ-MGB,23.58820534,23.80264282,0.303261757,,,,FALSE,0.01,FALSE,6,20,,N,Y
F9,131,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
F10,131,C,UNKNOWN,VIC,NFQ-MGB,24.01708221,23.80264282,0.303261757,,,,FALSE,0.01,FALSE,6,20,,N,Y
F10,131,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
F11,,,,,,,,,,,,,,,,,,N,N
F12,POS,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
F12,POS,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
G1,141,C,UNKNOWN,VIC,NFQ-MGB,25.28533173,25.19484901,0.127961874,,,,FALSE,0.01,FALSE,6,20,,N,Y
G1,141,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
G2,141,C,UNKNOWN,VIC,NFQ-MGB,25.1043663,25.19484901,0.127961874,,,,FALSE,0.01,FALSE,6,20,,N,Y
G2,141,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
G3,187,C,UNKNOWN,VIC,NFQ-MGB,23.51276016,23.45631218,0.079829499,,,,FALSE,0.01,FALSE,6,20,,N,N
G3,187,D,UNKNOWN,FAM,NFQ-MGB,26.98373795,26.78256607,0.284500003,,,,FALSE,0.01,FALSE,6,20,,N,N
G4,187,C,UNKNOWN,VIC,NFQ-MGB,23.3998642,23.45631218,0.079829499,,,,FALSE,0.01,FALSE,6,20,,N,N
G4,187,D,UNKNOWN,FAM,NFQ-MGB,26.5813942,26.78256607,0.284500003,,,,FALSE,0.01,FALSE,6,20,,N,N
G5,133,C,UNKNOWN,VIC,NFQ-MGB,23.92517662,23.76895905,0.220926359,,,,FALSE,0.01,FALSE,6,20,,N,Y
G5,133,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
