frag.id,days,time.point,notes,light.level,genotype,big.tank,tank,Dry.Weigh.g,propD,dom,mortality,mort.bin,dli
150,60,T2,NA,Medium Shade,899,14,8,2.202158623,0,C,0,1,0.673574649
151,60,T2,NA,High Shade,899,17,16,2.01203898,NA,C,20,1,0.330656405
153,60,T2,NA,Low Shade,899,16,10,4.202086979,0,C,0,1,1.420391927
154,60,T2,NA,Medium Shade,860,14,8,4.475085824,NA,C,25,2,0.673574649
155,60,T2,NA,Low Shade,860,17,14,3.823836746,0,C,0,1,1.420391927
156,60,T2,NA,Natural,860,16,9,6.452763129,NA,C,25,2,3.470265788
157,60,T2,NA,High Shade,860,13,3,3.496336227,0,C,50,3,0.330656405
158,60,T2,NA,High Shade,890,16,12,2.343717109,0,C,0,1,0.330656405
159,60,T2,NA,Medium Shade,890,13,4,3.933131265,0,C,0,1,0.673574649
160,60,T2,NA,Low Shade,890,14,6,3.542850292,0,C,0,1,1.420391927
161,60,T2,NA,Natural,890,17,13,3.160690318,NA,C,0,1,3.470265788
186,60,T2,NA,Natural,881,14,5,1.787600951,0,C,0,1,3.470265788
187,60,T2,NA,High Shade,881,16,12,7.223261898,0.011688124,C,10,1,0.330656405
191,60,T2,NA,Natural,872,16,9,5.963400453,0.001061202,C,0,1,3.470265788
192,60,T2,NA,Medium Shade,872,17,15,4.667074325,NA,C,0,1,0.673574649
195,60,T2,NA,Low Shade,858,13,2,3.23754175,0,C,0,1,1.420391927
196,60,T2,NA,Medium Shade,858,16,11,3.039334106,0,C,NA,,0.673574649
198,60,T2,NA,Natural,905,13,1,2.800744721,0,C,0,1,3.470265788
199,60,T2,NA,Low Shade,905,16,10,2.076776947,0,C,0,1,1.420391927
200,60,T2,NA,Medium Shade,905,17,15,4.523498132,0,C,0,1,0.673574649
201,60,T2,NA,High Shade,905,14,7,3.322461892,NA,C,100,4,0.330656405
202,60,T2,NA,Natural,895,16,9,3.631830272,0,C,0,1,3.470265788
203,60,T2,NA,Low Shade,895,13,2,7.55696854,0,C,0,1,1.420391927
204,60,T2,NA,Medium Shade,895,14,8,4.509463548,0,C,0,1,0.673574649
205,60,T2,NA,High Shade,895,17,16,5.702447528,NA,C,15,1,0.330656405
206,60,T2,NA,Natural,856,16,9,4.248592683,NA,C,20,1,3.470265788
208,60,T2,NA,Low Shade,856,14,6,13.18256562,NA,C,80,4,1.420391927
210,60,T2,NA,Natural,879,14,5,3.312320287,0,C,0,1,3.470265788
212,60,T2,NA,Medium Shade,879,13,4,3.872466281,0,C,0,1,0.673574649
213,60,T2,NA,High Shade,879,16,12,2.37602049,NA,C,55,3,0.330656405
218,60,T2,NA,High Shade,888,13,3,3.870436365,0,C,0,1,0.330656405
219,60,T2,NA,Medium Shade,888,17,15,4.855136794,NA,C,0,1,0.673574649
220,60,T2,NA,Low Shade,888,16,10,4.869402608,NA,C,0,1,1.420391927
