Site Name ,TANK10
Site Number ,10
Logger ,Integrating Light Sensor
Logger Serial Number ,7278


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

316,07/12/2017 , 21:00:00,0,0
317,07/12/2017 , 21:15:00,0,0
318,07/12/2017 , 21:30:00,0,0
319,07/12/2017 , 21:45:00,0,0
320,07/12/2017 , 22:00:00,0,0
321,07/12/2017 , 22:15:00,0,0
322,07/12/2017 , 22:30:00,0,0
323,07/12/2017 , 22:45:00,0,0
324,07/12/2017 , 23:00:00,0,0
325,07/12/2017 , 23:15:00,0,0
326,07/12/2017 , 23:30:00,0,0
327,07/12/2017 , 23:45:00,0,0
328,07/12/2017 , 24:00:00,0,0
329,08/12/2017 , 00:15:00,0,0
330,08/12/2017 , 00:30:00,0,0
331,08/12/2017 , 00:45:00,0,0
332,08/12/2017 , 01:00:00,0,0
333,08/12/2017 , 01:15:00,0,0
334,08/12/2017 , 01:30:00,0,0
335,08/12/2017 , 01:45:00,0,0
336,08/12/2017 , 02:00:00,0,0
337,08/12/2017 , 02:15:00,0,0
338,08/12/2017 , 02:30:00,0,0
339,08/12/2017 , 02:45:00,0,0
340,08/12/2017 , 03:00:00,0,0
341,08/12/2017 , 03:15:00,0,0
342,08/12/2017 , 03:30:00,0,0
343,08/12/2017 , 03:45:00,0,0
344,08/12/2017 , 04:00:00,0,0
345,08/12/2017 , 04:15:00,0,0
346,08/12/2017 , 04:30:00,0,0
347,08/12/2017 , 04:45:00,0,0
348,08/12/2017 , 05:00:00,0,0
349,08/12/2017 , 05:15:00,0,0
350,08/12/2017 , 05:30:00,0,0
351,08/12/2017 , 05:45:00,0,0
352,08/12/2017 , 06:00:00,0,0
353,08/12/2017 , 06:15:00,0,0
354,08/12/2017 , 06:30:00,0,0
355,08/12/2017 , 06:45:00,0,0
356,08/12/2017 , 07:00:00,16,16
357,08/12/2017 , 07:15:00,75,75
358,08/12/2017 , 07:30:00,177,177
359,08/12/2017 , 07:45:00,300,300
360,08/12/2017 , 08:00:00,443,443
361,08/12/2017 , 08:15:00,592,592
362,08/12/2017 , 08:30:00,675,675
363,08/12/2017 , 08:45:00,891,891
364,08/12/2017 , 09:00:00,1316,1316
365,08/12/2017 , 09:15:00,1317,1317
366,08/12/2017 , 09:30:00,1573,1573
367,08/12/2017 , 09:45:00,1749,1749
368,08/12/2017 , 10:00:00,2057,2057
369,08/12/2017 , 10:15:00,3097,3097
370,08/12/2017 , 10:30:00,5874,5874
371,08/12/2017 , 10:45:00,4792,4792
372,08/12/2017 , 11:00:00,4996,4996
373,08/12/2017 , 11:15:00,3145,3145
374,08/12/2017 , 11:30:00,3180,3180
375,08/12/2017 , 11:45:00,4100,4100
376,08/12/2017 , 12:00:00,3271,3271
377,08/12/2017 , 12:15:00,2571,2571
378,08/12/2017 , 12:30:00,3434,3434
379,08/12/2017 , 12:45:00,5042,5042
380,08/12/2017 , 13:00:00,4188,4188
381,08/12/2017 , 13:15:00,1833,1833
382,08/12/2017 , 13:30:00,1550,1550
383,08/12/2017 , 13:45:00,2880,2880
384,08/12/2017 , 14:00:00,1592,1592
385,08/12/2017 , 14:15:00,1091,1091
386,08/12/2017 , 14:30:00,1848,1848
387,08/12/2017 , 14:45:00,1208,1208
388,08/12/2017 , 15:00:00,1026,1026
389,08/12/2017 , 15:15:00,1050,1050
390,08/12/2017 , 15:30:00,998,998
391,08/12/2017 , 15:45:00,741,741
392,08/12/2017 , 16:00:00,456,456
393,08/12/2017 , 16:15:00,407,407
394,08/12/2017 , 16:30:00,351,351
395,08/12/2017 , 16:45:00,350,350
396,08/12/2017 , 17:00:00,284,284
397,08/12/2017 , 17:15:00,211,211
398,08/12/2017 , 17:30:00,112,112
399,08/12/2017 , 17:45:00,43,43
400,08/12/2017 , 18:00:00,10,10
401,08/12/2017 , 18:15:00,1,1
402,08/12/2017 , 18:30:00,0,0
403,08/12/2017 , 18:45:00,0,0
404,08/12/2017 , 19:00:00,0,0
405,08/12/2017 , 19:15:00,0,0
406,08/12/2017 , 19:30:00,0,0
407,08/12/2017 , 19:45:00,0,0
408,08/12/2017 , 20:00:00,0,0
409,08/12/2017 , 20:15:00,0,0
410,08/12/2017 , 20:30:00,0,0
411,08/12/2017 , 20:45:00,0,0
412,08/12/2017 , 21:00:00,0,0
413,08/12/2017 , 21:15:00,0,0
414,08/12/2017 , 21:30:00,0,0
415,08/12/2017 , 21:45:00,0,0
416,08/12/2017 , 22:00:00,0,0
417,08/12/2017 , 22:15:00,0,0
418,08/12/2017 , 22:30:00,0,0
419,08/12/2017 , 22:45:00,0,0
420,08/12/2017 , 23:00:00,0,0
421,08/12/2017 , 23:15:00,0,0
422,08/12/2017 , 23:30:00,0,0
423,08/12/2017 , 23:45:00,0,0
424,08/12/2017 , 24:00:00,0,0
425,09/12/2017 , 00:15:00,0,0
426,09/12/2017 , 00:30:00,0,0
427,09/12/2017 , 00:45:00,0,0
428,09/12/2017 , 01:00:00,0,0
429,09/12/2017 , 01:15:00,0,0
430,09/12/2017 , 01:30:00,0,0
431,09/12/2017 , 01:45:00,0,0
432,09/12/2017 , 02:00:00,0,0
433,09/12/2017 , 02:15:00,0,0
434,09/12/2017 , 02:30:00,0,0
435,09/12/2017 , 02:45:00,0,0
436,09/12/2017 , 03:00:00,0,0
437,09/12/2017 , 03:15:00,0,0
438,09/12/2017 , 03:30:00,0,0
439,09/12/2017 , 03:45:00,0,0
440,09/12/2017 , 04:00:00,0,0
441,09/12/2017 , 04:15:00,0,0
442,09/12/2017 , 04:30:00,0,0
443,09/12/2017 , 04:45:00,0,0
444,09/12/2017 , 05:00:00,0,0
445,09/12/2017 , 05:15:00,0,0
446,09/12/2017 , 05:30:00,0,0
447,09/12/2017 , 05:45:00,0,0
448,09/12/2017 , 06:00:00,0,0
449,09/12/2017 , 06:15:00,0,0
450,09/12/2017 , 06:30:00,0,0
451,09/12/2017 , 06:45:00,0,0
452,09/12/2017 , 07:00:00,14,14
453,09/12/2017 , 07:15:00,66,66
454,09/12/2017 , 07:30:00,133,133
455,09/12/2017 , 07:45:00,188,188
456,09/12/2017 , 08:00:00,231,231
457,09/12/2017 , 08:15:00,291,291
458,09/12/2017 , 08:30:00,536,536
459,09/12/2017 , 08:45:00,1341,1341
460,09/12/2017 , 09:00:00,1883,1883
461,09/12/2017 , 09:15:00,1581,1581
462,09/12/2017 , 09:30:00,1641,1641
463,09/12/2017 , 09:45:00,1801,1801
464,09/12/2017 , 10:00:00,2080,2080
465,09/12/2017 , 10:15:00,3702,3702
466,09/12/2017 , 10:30:00,4254,4254
467,09/12/2017 , 10:45:00,5523,5523
468,09/12/2017 , 11:00:00,1373,1373
469,09/12/2017 , 11:15:00,2759,2759
470,09/12/2017 , 11:30:00,3017,3017
471,09/12/2017 , 11:45:00,3396,3396
472,09/12/2017 , 12:00:00,4653,4653
473,09/12/2017 , 12:15:00,5337,5337
474,09/12/2017 , 12:30:00,4594,4594
475,09/12/2017 , 12:45:00,4040,4040
476,09/12/2017 , 13:00:00,2477,2477
477,09/12/2017 , 13:15:00,3113,3113
478,09/12/2017 , 13:30:00,1776,1776
479,09/12/2017 , 13:45:00,2069,2069
480,09/12/2017 , 14:00:00,1966,1966
481,09/12/2017 , 14:15:00,1325,1325
482,09/12/2017 , 14:30:00,1351,1351
483,09/12/2017 , 14:45:00,1936,1936
484,09/12/2017 , 15:00:00,1086,1086
485,09/12/2017 , 15:15:00,1196,1196
486,09/12/2017 , 15:30:00,1107,1107
487,09/12/2017 , 15:45:00,870,870
488,09/12/2017 , 16:00:00,653,653
489,09/12/2017 , 16:15:00,585,585
490,09/12/2017 , 16:30:00,344,344
491,09/12/2017 , 16:45:00,295,295
492,09/12/2017 , 17:00:00,328,328
493,09/12/2017 , 17:15:00,250,250
494,09/12/2017 , 17:30:00,129,129
495,09/12/2017 , 17:45:00,67,67
496,09/12/2017 , 18:00:00,15,15
497,09/12/2017 , 18:15:00,1,1
498,09/12/2017 , 18:30:00,0,0
499,09/12/2017 , 18:45:00,0,0
500,09/12/2017 , 19:00:00,0,0
501,09/12/2017 , 19:15:00,0,0
502,09/12/2017 , 19:30:00,0,0
503,09/12/2017 , 19:45:00,0,0
504,09/12/2017 , 20:00:00,0,0
505,09/12/2017 , 20:15:00,0,0
506,09/12/2017 , 20:30:00,0,0
507,09/12/2017 , 20:45:00,0,0
508,09/12/2017 , 21:00:00,0,0
509,09/12/2017 , 21:15:00,0,0
510,09/12/2017 , 21:30:00,0,0
511,09/12/2017 , 21:45:00,0,0
512,09/12/2017 , 22:00:00,0,0
513,09/12/2017 , 22:15:00,0,0
514,09/12/2017 , 22:30:00,0,0
515,09/12/2017 , 22:45:00,0,0
516,09/12/2017 , 23:00:00,0,0
517,09/12/2017 , 23:15:00,0,0
518,09/12/2017 , 23:30:00,0,0
519,09/12/2017 , 23:45:00,0,0
520,09/12/2017 , 24:00:00,0,0
521,10/12/2017 , 00:15:00,0,0
522,10/12/2017 , 00:30:00,0,0
523,10/12/2017 , 00:45:00,0,0
524,10/12/2017 , 01:00:00,0,0
525,10/12/2017 , 01:15:00,0,0
526,10/12/2017 , 01:30:00,0,0
527,10/12/2017 , 01:45:00,0,0
528,10/12/2017 , 02:00:00,0,0
529,10/12/2017 , 02:15:00,0,0
530,10/12/2017 , 02:30:00,0,0
531,10/12/2017 , 02:45:00,0,0
532,10/12/2017 , 03:00:00,0,0
533,10/12/2017 , 03:15:00,0,0
534,10/12/2017 , 03:30:00,0,0
535,10/12/2017 , 03:45:00,0,0
536,10/12/2017 , 04:00:00,0,0
537,10/12/2017 , 04:15:00,0,0
538,10/12/2017 , 04:30:00,0,0
539,10/12/2017 , 04:45:00,0,0
540,10/12/2017 , 05:00:00,0,0
541,10/12/2017 , 05:15:00,0,0
542,10/12/2017 , 05:30:00,0,0
543,10/12/2017 , 05:45:00,0,0
544,10/12/2017 , 06:00:00,0,0
545,10/12/2017 , 06:15:00,0,0
546,10/12/2017 , 06:30:00,0,0
547,10/12/2017 , 06:45:00,0,0
548,10/12/2017 , 07:00:00,14,14
549,10/12/2017 , 07:15:00,59,59
550,10/12/2017 , 07:30:00,127,127
551,10/12/2017 , 07:45:00,170,170
552,10/12/2017 , 08:00:00,282,282
553,10/12/2017 , 08:15:00,681,681
554,10/12/2017 , 08:30:00,744,744
555,10/12/2017 , 08:45:00,1124,1124
556,10/12/2017 , 09:00:00,1035,1035
557,10/12/2017 , 09:15:00,953,953
558,10/12/2017 , 09:30:00,1163,1163
559,10/12/2017 , 09:45:00,1629,1629
560,10/12/2017 , 10:00:00,1528,1528
561,10/12/2017 , 10:15:00,1903,1903
562,10/12/2017 , 10:30:00,1826,1826
563,10/12/2017 , 10:45:00,1867,1867
564,10/12/2017 , 11:00:00,1665,1665
565,10/12/2017 , 11:15:00,1789,1789
566,10/12/2017 , 11:30:00,1206,1206
567,10/12/2017 , 11:45:00,1179,1179
568,10/12/2017 , 12:00:00,1642,1642
569,10/12/2017 , 12:15:00,1542,1542
570,10/12/2017 , 12:30:00,1639,1639
571,10/12/2017 , 12:45:00,2014,2014
572,10/12/2017 , 13:00:00,1818,1818
573,10/12/2017 , 13:15:00,2176,2176
574,10/12/2017 , 13:30:00,1725,1725
575,10/12/2017 , 13:45:00,1131,1131
576,10/12/2017 , 14:00:00,1455,1455
577,10/12/2017 , 14:15:00,1881,1881
578,10/12/2017 , 14:30:00,1532,1532
579,10/12/2017 , 14:45:00,1221,1221
580,10/12/2017 , 15:00:00,2218,2218
581,10/12/2017 , 15:15:00,1227,1227
582,10/12/2017 , 15:30:00,1501,1501
583,10/12/2017 , 15:45:00,840,840
584,10/12/2017 , 16:00:00,478,478
585,10/12/2017 , 16:15:00,624,624
586,10/12/2017 , 16:30:00,679,679
587,10/12/2017 , 16:45:00,394,394
588,10/12/2017 , 17:00:00,326,326
589,10/12/2017 , 17:15:00,268,268
590,10/12/2017 , 17:30:00,158,158
591,10/12/2017 , 17:45:00,67,67
592,10/12/2017 , 18:00:00,18,18
593,10/12/2017 , 18:15:00,1,1
594,10/12/2017 , 18:30:00,0,0
595,10/12/2017 , 18:45:00,0,0
596,10/12/2017 , 19:00:00,0,0
597,10/12/2017 , 19:15:00,0,0
598,10/12/2017 , 19:30:00,0,0
599,10/12/2017 , 19:45:00,0,0
600,10/12/2017 , 20:00:00,0,0
601,10/12/2017 , 20:15:00,0,0
602,10/12/2017 , 20:30:00,0,0
603,10/12/2017 , 20:45:00,0,0
604,10/12/2017 , 21:00:00,0,0
605,10/12/2017 , 21:15:00,0,0
606,10/12/2017 , 21:30:00,0,0
607,10/12/2017 , 21:45:00,0,0
608,10/12/2017 , 22:00:00,0,0
609,10/12/2017 , 22:15:00,0,0
610,10/12/2017 , 22:30:00,0,0
611,10/12/2017 , 22:45:00,0,0
612,10/12/2017 , 23:00:00,0,0
613,10/12/2017 , 23:15:00,0,0
614,10/12/2017 , 23:30:00,0,0
615,10/12/2017 , 23:45:00,0,0
616,10/12/2017 , 24:00:00,0,0
617,11/12/2017 , 00:15:00,0,0
618,11/12/2017 , 00:30:00,0,0
619,11/12/2017 , 00:45:00,0,0
620,11/12/2017 , 01:00:00,0,0
621,11/12/2017 , 01:15:00,0,0
622,11/12/2017 , 01:30:00,0,0
623,11/12/2017 , 01:45:00,0,0
624,11/12/2017 , 02:00:00,0,0
625,11/12/2017 , 02:15:00,0,0
626,11/12/2017 , 02:30:00,0,0
627,11/12/2017 , 02:45:00,0,0
628,11/12/2017 , 03:00:00,0,0
629,11/12/2017 , 03:15:00,0,0
630,11/12/2017 , 03:30:00,0,0
631,11/12/2017 , 03:45:00,0,0
